"side_effect","predicted_drug","similarity_score"
"Cholecystectomy","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.92692821138825"
"Vomiting 1 Abdominal pain upper 1 Malaise 1 Nausea 1 Abdominal discomfort 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99912190702666"
"Gingival swelling 3 Renal failure chronic 6 Gingivitis 6 Periodontitis 6 Oral disorder 6 Exposed bone in jaw 3 Tenderness 6 Renal impairment 6 Gingival bleeding 6 Breast cancer stage II 5 Aortic valve incompetence 6 Anaemia 6 Mitral valve disease mixed 6 Nephrogenic anaemia 6 Gingival erythema 3 Loose tooth 3 Malignant neoplasm progression 5 Angina pectoris 6 Osteonecrosis of jaw 3 Pain in jaw 3 Bacterial infection 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99420182697682"
"Incorrect dose administered 6 Memory impairment 6 Blood glucose abnormal 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9964199367805"
"Overdose 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99312997090723"
"Rhabdomyolysis 1 Pyrexia 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99532110861852"
"Self injurious behaviour 6 Sopor 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99774016641101"
"Urinary tract infection 3 Weight decreased 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99761721625472"
"Hypersensitivity 6 Neutropenia 6 Thrombocytopenia 6 Papilloedema 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99737408073685"
"Cerebrovascular accident 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99552095217404"
"Osteoarthritis 2 Arthritis 2 Drug ineffective 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9990415951744"
"Mineral supplementation 6 Haemoglobin decreased 6 Dyspnoea 6 Musculoskeletal stiffness 6 Fatigue 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99884515796794"
"Asthenia 6 Back pain 6 Chest pain 6 Depressed mood 6 Dizziness 6 Dyspnoea 6 Migraine 6 Vaginal haemorrhage 6 Vomiting 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99909482406667"
"Platelet count abnormal 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9946413611076"
"Anaphylactic shock 1 Type IV hypersensitivity reaction 1 Hypotension 1 Hypoxia 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.98622497075439"
"Gastrointestinal disorder 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9990016330941"
"Nephrogenic systemic fibrosis 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99840825303752"
"Palmar-plantar erythrodysaesthesia syndrome 4 Wound secretion 3","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99678483784354"
"Endophthalmitis 1 Macular oedema 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99817709340792"
"Coronary artery disease 4","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9946249117624"
"Lower respiratory tract infection 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.997926793421"
"Paraneoplastic dermatomyositis 2","VIAGRA VIAGRA","0.88684756989238"
"Epistaxis 3 Rash pruritic 3 Rhinorrhoea 3","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99697271973758"
"Prurigo 6 Chest pain 1 Headache 1 Hypotension 1 Infusion related reaction 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99800921939082"
"Lethargy 2 Weight decreased 2 Malaise 2 Renal impairment 2 Diarrhoea 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99868737463318"
"Coeliac disease 6 Urticaria 6 Fatigue 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99838938753061"
"Angioedema 6 Drug ineffective 6 Pruritus 6 Insomnia 6 Condition aggravated 2 Chronic spontaneous urticaria 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99479129944506"
"Cardiac failure 6 Respiratory failure 6 Convulsion 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9988040093351"
"Cardiac failure 6 Convulsion 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99863289712413"
"Anaemia 1 Major depression 6 Paraesthesia 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99731500231823"
"Respiratory failure 6 Convulsion 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99821327731874"
"Gastrointestinal disorder 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9990016330941"
"Tinnitus 6 Feeling abnormal 6 Dizziness 6 Hearing impaired 6 Deafness 6 Body temperature decreased 6 Restlessness 6 Abdominal distension 6 Quality of life decreased 6 Eating disorder 6 Insomnia 6 Visual acuity reduced 6 Asthenia 6 Gastric ulcer 2 Ear discomfort 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99442012010113"
"Toxicity to various agents 5 Child neglect 6","NOSTRILLA NASAL DECONGESTANT ORIGINAL FAST RELIEF-12 HOUR LOVISTATIN TRAZODONE VALIUM FLEXORIL HYDROCODONE","0.99881864532684"
"Syncope 1 Arthropathy 3 Chondropathy 3 Dysmenorrhoea 1 Headache 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99547907241931"
"Pain 6 Malaise 6 Head discomfort 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99922427280925"
"Gastrointestinal disorder 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9990016330941"
"Glaucoma 6 Rash 3 Oedema peripheral 3 Lacrimation increased 3 Oedema peripheral 6 Pain 6 Fatigue 6 Herpes virus infection 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99921223806382"
"Gastrointestinal disorder 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9990016330941"
"Gastroenteritis Escherichia coli 6 Nausea 6 Vomiting 6 Diarrhoea 6 Bronchitis 6 Dyspnoea 6 Wheezing 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99785232542391"
"Cerebrovascular accident 5","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99552095217404"
"Convulsion 6 Malaise 6 Product packaging issue 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99543375512089"
"Pyrexia 1 Lymphadenitis 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99574513736863"
"Arthropathy 6 Tooth disorder 6 Jaw disorder 6 Paraesthesia 6 Hypoaesthesia 6 Activities of daily living impaired 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99521379911124"
"Death 5 No therapeutic response 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99485792508744"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5 Convulsion 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99724012509221"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Acute myeloid leukaemia recurrent 5 Graft versus host disease 6 Adenovirus infection 6 Cytomegalovirus infection 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99453081134643"
"Drug effect decreased 1 Expired drug administered 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99874959595809"
"Acute coronary syndrome 1 Anaemia 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99596359909604"
"Rectal haemorrhage 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99831542820831"
"Gastrooesophageal reflux disease 6 Drug ineffective 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99895999362281"
"Renal colic 3 Pyelonephritis 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9927687504297"
"Dyspnoea 6 Secretion discharge 6 Oxygen saturation decreased 6 Cough 6 Adverse event 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99399549153649"
"Endometrial cancer metastatic 5","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99432352220706"
"Abortion 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99206737480842"
"Abdominal distension 1 Abdominal pain 1 Abdominal pain upper 1 Anxiety 1 Back pain 1 Breast pain 1 Chest discomfort 1 Dizziness 1 Dyspnoea 1 Headache 1 Swelling 1 Mood altered 1 Muscle spasms 1 Nausea 1 Neck pain 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99940059521896"
"Laryngeal cancer 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99385108101774"
"Accelerated idioventricular rhythm 6 Ventricular parasystole 6","VALACYCLOVIR ACICLOVIR PRED FORTE EYE DROPS 10MG/ML, 5ML VIAL","0.99468539271959"
"Death 5 Respiratory distress 3 Anaemia 3 Haematochezia 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9989659241503"
"Stevens-Johnson syndrome 3 Nausea 6 Vomiting 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99595750392952"
"Blindness 3 Deafness 3 Loss of consciousness 6 Contusion 6 Glaucoma 6 Pruritus 6 Muscle disorder 3 Confusional state 6 Skin lesion 6 Pain 6 Oral disorder 6 Delusion 6 Aggression 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99483962319745"
"Dyspnoea 6 Pulmonary embolism 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99884429642964"
"Hypoglycaemic coma 1 Insulinoma 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.98840559308629"
"Toxicity to various agents 1 Gastrointestinal haemorrhage 1 International normalised ratio increased 1 Haematocrit decreased 3 Fall 1 Blood creatinine increased 1 Dehydration 1 Contusion 3 Hypotension 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99560004650257"
"Transient ischaemic attack 1","ADVAIR BLOOD PRESSURE MEDICATION","0.99857483582163"
"Paraesthesia 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99606929937638"
"Erythema multiforme 2 General physical health deterioration 6 Local swelling 6 Pyrexia 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99583850394158"
"Bone marrow failure 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99714245332293"
"Cerebral haemorrhage 5 Haemoglobin decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99870796247808"
"Paraesthesia 1 Dyspnoea 1 Ocular hyperaemia 1 Dyspnoea at rest 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99748094614269"
"Dizziness 1 Rash 2 Loss of consciousness 1 Pruritus 2","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99481103132789"
"Cardiac arrest 1 Pulmonary embolism 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99884512899888"
"Pulmonary embolism 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99855459580372"
"Haemorrhage 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99835142059907"
"Upper gastrointestinal haemorrhage 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99738775971097"
"Suicide attempt 6 Intentional overdose 6 Convulsion 3","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99607074941172"
"Cardiac arrest 5 Blood urine present 6 Unresponsive to stimuli 6 Blood pressure decreased 6 Haemoglobin decreased 6 Abdominal pain 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99889940321148"
"Haematoma 6 Dysphagia 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99515924027825"
"Subarachnoid haemorrhage 5 Cerebral haematoma 5 Haematemesis 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99731155353262"
"Purple glove syndrome 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9969518126845"
"Pharyngeal operation 6","SPIRIVA NASAL OXYGEN","0.9963862110999"
"Cardiac failure acute 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99863436268624"
"Polychondritis 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.43733276032497"
"Sepsis 6 Pneumonia 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99629627149585"
"Herpes zoster 6 Hypersensitivity 2","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99598827193757"
"Gallbladder disorder 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99768205741042"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Psychiatric symptom 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99508390189281"
"Visual acuity reduced 6 No therapeutic response 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99796215080563"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Nephrogenic systemic fibrosis 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99840825303752"
"Bronchitis 1 Bronchitis 1 Bronchitis 1 Pharyngitis 1 Upper respiratory tract infection 1 Upper respiratory tract infection 1 Infection 6 Sinusitis 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99539707632495"
"Haemolysis 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.46212548369989"
"Drug-induced liver injury 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99858847536106"
"Dyspnoea 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99868236318221"
"Rectal haemorrhage 6 Drug interaction 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99851507098791"
"Dermatitis 1 Abscess neck 1","ADVAIR BLOOD PRESSURE MEDICATION","0.99758693720131"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Bone erosion 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99547284099606"
"Drug interaction 6 Epistaxis 1 Anaemia 3 International normalised ratio increased 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9974931112218"
"Cleft palate 3 Placental transfusion syndrome 1","ADVAIR BLOOD PRESSURE MEDICATION","0.9978928159846"
"Cardiac disorder 3 Lung disorder 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99855674688598"
"Vaginal haemorrhage 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99859473579832"
"Gingival bleeding 6 Drug interaction 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99809395586231"
"Erysipelas 6 Limb injury 6 Weight decreased 6 Drug tolerance 6 Immunodeficiency 6 Extremity necrosis 6 Blood cholesterol increased 6 Arthropathy 6 Pain 6 Drug ineffective 6 Arthralgia 6 Rheumatic fever 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99897890617268"
"Toxic optic neuropathy 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99436555251625"
"Metastatic malignant melanoma 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99395268763138"
"Splenic rupture 4","ESCITALOPRAM IMOVANE","0.99220058942086"
"Death 5 Diarrhoea 6 Septic shock 6 Syncope 6 Pneumonia 6 Neutropenia 6 Thrombocytopenia 6 Fatigue 6 Plasma cell myeloma 6 Cough 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.995296496919"
"Abscess 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99578042252764"
"Infection 5 Neutropenia 5 White blood cell count decreased 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99712901098707"
"Haemorrhage 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99835142059907"
"Haemorrhage 6 Drug interaction 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99798729325666"
"Central nervous system lesion 6 Weight increased 6 Vitamin D deficiency 6 Pain in extremity 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99938277546417"
"Type 2 diabetes mellitus 3","PRIVATE LABEL","0.68101289932382"
"Drug reaction with eosinophilia and systemic symptoms 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99651637433227"
"Pulmonary oedema 5 Respiratory failure 5 Platelet count decreased 3 Pneumonia 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99902026864971"
"Investigation 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99660886360621"
"Hospitalisation 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9956129807087"
"Haemorrhage 6 Drug interaction 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99798729325666"
"Hypertension 3 Osteoporosis 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99721471061912"
"Surgery 6 Scar 3 Abdominal pain upper 3 Anxiety 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99924627738274"
"Plasma cell myeloma 5 Pneumonia 5","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.993740602172"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Tremor 6 Drug ineffective 6 Cardiac pacemaker insertion 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99892483588414"
"Pericardial effusion 2","ADVAIR BLOOD PRESSURE MEDICATION","0.99703481150977"
"Urinary tract infection 1 Suppressed lactation 3 Device ineffective Drug ineffective 3 Erythema 1 Skin fissures 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99670802328732"
"Pulmonary embolism 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99855459580372"
"Pulmonary embolism","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99855459580372"
"Deep vein thrombosis","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99531614577571"
"Hospitalisation 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9956129807087"
"Subdural haematoma 6 Drug interaction 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9987476522511"
"Vaginal haemorrhage 1 Haematuria 1 Contusion 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99838190662109"
"Premature baby 6 Low birth weight baby 6","DIANEAL PD4 GLUCOSE 1.36% W/V / 13.6 MG/ML DIANEAL PD4 GLUCOSE 1.36% W/V / 13.6 MG/ML DIANEAL PD4 GLUCOSE 2.27% W/V / 22.7 MG/ML DIANEAL PD4 GLUCOSE 2.27% W/V / 22.7 MG/ML EXTRANEAL (ICODEXTRIN 7.5%) SOLUTION FOR PERITONEAL DIALYSIS EXTRANEAL (ICODEXTRIN 7.5%) SOLUTION FOR PERITONEAL DIALYSIS NUTRINEAL PD4 WITH 1.1% AMINO ACIDS NUTRINEAL PD4 WITH 1.1% AMINO ACIDS","0.99950288025052"
"Pneumonia aspiration 5 BK virus infection 6 Encephalitis viral 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99626686279527"
"Lower respiratory tract infection 6 Palpitations 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99745980144967"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Impaired healing 6 Spinal fusion surgery 1 Pain in extremity 6 Pain 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99944544467116"
"Abdominal pain upper 6 Angina unstable 6 Cold sweat 6 Nausea 6 Vomiting 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99928400231615"
"Off label use 6 Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99859983998287"
"Dizziness 6 Fatigue 3 Rash 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9963850014735"
"Anaemia 6 Malignant neoplasm progression 6 Diarrhoea 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9989476031965"
"Haemorrhage intracranial 6 Food poisoning 6 Pneumonia 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99691043484267"
"Haemoptysis 6 Dyspnoea 6 Fatigue 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99896180178311"
"Incorrect dose administered 6 Overdose 6 Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99652625865108"
"Local swelling 3 Haemorrhage 6 Erythema 3 Localised infection 6 Localised infection 6 Skin disorder 6 Pain in extremity 6 Secretion discharge 6 Scab 6 Rash 6 Pruritus 6 Rash 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99574547276624"
"Nephrolithiasis 6 Nausea 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99471938208314"
"Neutropenia 6 Rhinorrhoea 6 Dermatitis acneiform 6 Dermatitis acneiform 6","AMPYRA COPAXONE ALL OTHER THERAPEUTIC PRODUCTS","0.99885947356627"
"Epistaxis 6 Mucosal haemorrhage 6 Pain 6 Vomiting 6 Diarrhoea 6 Malignant neoplasm progression 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99920082129297"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Pulmonary thrombosis 6 Thrombosis 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99641499459541"
"Blood disorder 5 Neoplasm malignant 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99839367296974"
"Dyspepsia 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.96249336100677"
"Death 5 Blood urine present 6 Cholelithiasis 6 Dizziness 6 Fatigue 6 Pneumonia 6 Decreased appetite 6 Skin reaction 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99716709342405"
"Abdominal pain 6 Flatulence 1 Muscle spasms 1 Rash 1 Flatulence 2 Eructation 3 Constipation 2 Eructation 6 Vision blurred 6 Blood pressure increased 6 Anxiety 6 Hypophagia 6 Weight decreased 6 Rash 6 Rash 6 Acne 6 Pruritus 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99619076178383"
"Death 5 Ill-defined disorder 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99857370419459"
"Fall 6 Full blood count decreased 3 Contusion 3 Fatigue 3 Diarrhoea 3 Decreased appetite 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99884113198747"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Incorrect dose administered 6 Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99717250460982"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Incorrect dose administered 6 White blood cell count decreased 6 Rash 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99738925262608"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Off label use 6 Atrial fibrillation 6 Metastases to bone 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99625264507354"
"Fall 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99615044331791"
"Incorrect dose administered 6 Visual acuity reduced 6 Blood triglycerides increased 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99366850608559"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Malignant neoplasm progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99539006577682"
"Oesophageal carcinoma 6","AMPYRA COPAXONE ALL OTHER THERAPEUTIC PRODUCTS","0.99892778343388"
"Drug interaction 6 Ventricular tachycardia 2 Electrocardiogram QT prolonged 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99671168230569"
"Gastric haemorrhage","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99857814029514"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Hypersensitivity 1 Angioedema 1 Pruritus 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99460219613344"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Convulsion 6 Hepatic failure 6 Stevens-Johnson syndrome 6 Anaemia 6 Drug ineffective 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99647271560601"
"Death 5 Spinal disorder 6 Device related infection 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99811449111692"
"Drug ineffective 6 Chronic graft versus host disease 6 Acute graft versus host disease 2 Chronic graft versus host disease 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99823116087982"
"Renal failure 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99828852480574"
"Drug ineffective 6 Fall 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99891045856231"
"Joint stiffness 1 Sensation of heaviness 1 Chest pain 1 Myalgia 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9991138512885"
"Chest pain 1 Oedema 1 Cystitis 6 Off label use 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99924280277412"
"Hepatic function abnormal 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99910533092306"
"Unresponsive to stimuli 6 Syncope 6 Blood pressure decreased 6 Heart rate decreased 6 Ventricular extrasystoles 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9945520987144"
"Interstitial lung disease 1 Pyrexia 1 Diarrhoea 1 Rash 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99783555866182"
"Investigation 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99660886360621"
"Investigation 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99660886360621"
"Balance disorder 6 Fall 6 Disorientation 6 Condition aggravated 6 Dizziness 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99426956447661"
"Abdominal symptom 3 Conjunctivitis 6 Dyspnoea 6 Vomiting 6 Diarrhoea 6 Decreased appetite 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9992237292865"
"Drug ineffective 6 Chronic graft versus host disease 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99873305630129"
"Drug ineffective 6 Graft versus host disease 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99881216584789"
"Eye swelling 2 Rash 1 Ocular hyperaemia 2 Incorrect dose administered 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99376253168816"
"Drug interaction 6 Breast cancer 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99898405012235"
